tenure_months,contract,internet_service,monthly_charges,churn
8,Two year,DSL,66.76,0
20,Month-to-month,Fiber optic,83.22,0
17,One year,Fiber optic,76.11,0
48,Month-to-month,DSL,48.0,0
53,Month-to-month,Fiber optic,68.47,1
53,One year,No,14.18,0
68,Month-to-month,Fiber optic,66.95,0
56,One year,Fiber optic,76.9,0
23,Month-to-month,DSL,49.68,0
7,Month-to-month,DSL,54.46,1
44,Two year,DSL,59.64,0
66,Month-to-month,Fiber optic,68.1,0
71,One year,Fiber optic,72.3,0
16,Month-to-month,DSL,22.21,0
17,Two year,Fiber optic,97.07,0
2,One year,DSL,40.03,0
10,Month-to-month,Fiber optic,77.82,1
40,Month-to-month,Fiber optic,65.03,0
39,Month-to-month,Fiber optic,64.75,0
27,Two year,DSL,42.16,0
22,Month-to-month,Fiber optic,55.06,0
60,Month-to-month,No,-4.76,0
33,One year,Fiber optic,83.92,0
59,Month-to-month,Fiber optic,76.55,1
70,Month-to-month,Fiber optic,59.01,0
23,Month-to-month,DSL,50.42,1
14,Month-to-month,DSL,54.89,0
69,One year,DSL,36.68,0
46,Two year,Fiber optic,74.94,0
21,Two year,DSL,57.08,0
45,Two year,Fiber optic,52.74,0
37,Month-to-month,DSL,51.4,0
66,Month-to-month,DSL,49.37,0
18,One year,Fiber optic,92.57,0
72,Two year,DSL,51.68,0
68,One year,DSL,40.07,0
13,Month-to-month,Fiber optic,66.46,0
12,One year,Fiber optic,94.28,0
38,One year,Fiber optic,65.74,0
3,Two year,DSL,52.03,0
21,One year,DSL,42.14,0
31,Month-to-month,Fiber optic,82.98,0
70,Month-to-month,Fiber optic,83.57,0
72,Month-to-month,Fiber optic,69.73,1
11,Month-to-month,Fiber optic,65.12,0
65,Two year,Fiber optic,64.83,0
6,Month-to-month,Fiber optic,49.27,1
54,Month-to-month,Fiber optic,71.21,0
61,Month-to-month,DSL,45.96,0
65,One year,DSL,35.21,0
16,Month-to-month,Fiber optic,47.98,0
65,Month-to-month,DSL,47.48,0
8,Two year,Fiber optic,73.99,0
37,Month-to-month,Fiber optic,74.74,1
34,Month-to-month,No,13.12,0
23,Month-to-month,DSL,49.76,0
1,One year,Fiber optic,67.86,0
56,One year,Fiber optic,80.37,0
24,Two year,DSL,33.3,0
48,Month-to-month,Fiber optic,83.8,1
29,Two year,No,43.12,0
27,One year,Fiber optic,71.39,0
64,Month-to-month,Fiber optic,74.84,0
6,Month-to-month,DSL,54.41,0
53,Month-to-month,DSL,32.69,0
54,Two year,Fiber optic,64.16,0
27,Month-to-month,No,27.21,0
19,Month-to-month,No,49.32,0
0,One year,Fiber optic,55.65,0
68,Two year,Fiber optic,89.65,0
69,One year,Fiber optic,67.68,0
17,One year,DSL,44.59,1
2,Month-to-month,DSL,59.62,0
8,Two year,Fiber optic,94.26,0
4,Month-to-month,No,30.07,0
60,Month-to-month,Fiber optic,83.98,0
65,Two year,DSL,33.96,0
11,Month-to-month,DSL,38.65,1
54,Month-to-month,Fiber optic,53.77,1
13,One year,Fiber optic,63.81,0
26,Month-to-month,Fiber optic,76.78,0
43,Month-to-month,No,27.55,0
52,One year,Fiber optic,90.73,0
63,One year,DSL,69.66,0
3,One year,Fiber optic,68.36,1
14,Month-to-month,Fiber optic,61.84,0
20,One year,No,38.92,0
22,Two year,Fiber optic,85.17,0
72,Month-to-month,DSL,50.29,0
56,Month-to-month,Fiber optic,78.47,1
23,Month-to-month,Fiber optic,76.59,0
70,Month-to-month,Fiber optic,58.13,1
36,Month-to-month,Fiber optic,55.38,0
36,One year,DSL,44.39,0
31,Two year,Fiber optic,67.59,0
10,Month-to-month,Fiber optic,73.32,1
68,One year,Fiber optic,68.43,0
1,Month-to-month,DSL,24.56,1
12,Month-to-month,DSL,19.65,0
16,One year,DSL,53.85,0
20,Month-to-month,No,17.05,0
9,Two year,Fiber optic,67.21,1
1,Month-to-month,Fiber optic,63.3,0
49,Month-to-month,DSL,34.04,0
70,Month-to-month,Fiber optic,58.72,0
8,Month-to-month,DSL,57.24,0
21,Two year,DSL,42.13,1
36,One year,Fiber optic,77.62,1
67,Month-to-month,No,34.23,0
50,Month-to-month,Fiber optic,73.8,0
55,One year,DSL,54.62,0
42,One year,Fiber optic,70.17,0
30,Month-to-month,DSL,61.37,0
14,Month-to-month,Fiber optic,79.88,1
63,Month-to-month,No,36.48,0
58,Month-to-month,No,13.74,0
1,Month-to-month,DSL,48.16,0
52,Month-to-month,DSL,22.98,0
6,Month-to-month,DSL,61.81,1
53,Month-to-month,DSL,37.52,0
60,Month-to-month,DSL,39.18,0
9,Two year,DSL,28.59,0
31,One year,DSL,44.56,0
9,Month-to-month,DSL,41.78,0
41,Month-to-month,Fiber optic,91.87,1
67,Month-to-month,No,35.31,0
5,Two year,Fiber optic,63.82,0
29,One year,Fiber optic,50.01,0
71,Month-to-month,No,-2.4,0
21,Two year,Fiber optic,57.68,0
9,Two year,Fiber optic,54.03,0
35,Two year,DSL,49.18,0
37,Month-to-month,DSL,43.26,0
48,Month-to-month,Fiber optic,70.21,0
22,One year,DSL,33.61,0
69,Month-to-month,Fiber optic,71.82,0
38,One year,Fiber optic,52.96,0
20,One year,Fiber optic,,1
70,Month-to-month,Fiber optic,79.96,0
67,Month-to-month,No,20.61,0
36,Month-to-month,DSL,50.32,0
1,Month-to-month,DSL,21.28,0
43,One year,No,0.31,1
40,One year,No,28.93,0
10,Month-to-month,DSL,57.56,0
46,One year,Fiber optic,67.14,0
61,Month-to-month,DSL,70.74,0
7,One year,DSL,27.68,0
52,Month-to-month,Fiber optic,61.84,0
10,One year,Fiber optic,71.68,0
54,One year,Fiber optic,75.57,0
30,Month-to-month,Fiber optic,62.99,0
0,One year,DSL,32.29,0
70,Two year,DSL,52.44,0
12,Month-to-month,Fiber optic,71.6,0
43,One year,Fiber optic,65.86,0
13,Two year,DSL,50.99,0
68,Two year,Fiber optic,68.36,0
53,Month-to-month,Fiber optic,68.32,0
58,One year,DSL,42.88,0
31,Two year,DSL,35.15,0
34,One year,DSL,33.93,0
46,Month-to-month,DSL,38.69,0
57,Month-to-month,Fiber optic,70.38,0
61,One year,No,2.54,1
1,Month-to-month,DSL,56.34,0
48,Month-to-month,DSL,45.22,0
7,Month-to-month,Fiber optic,57.22,1
21,One year,DSL,64.4,0
60,Month-to-month,Fiber optic,70.5,0
18,Two year,Fiber optic,53.98,0
58,One year,DSL,63.86,0
33,Two year,DSL,61.26,0
16,Two year,Fiber optic,59.09,1
24,Month-to-month,DSL,41.12,0
38,One year,Fiber optic,64.51,0
55,Month-to-month,DSL,22.33,0
44,Two year,Fiber optic,73.9,0
68,Month-to-month,Fiber optic,80.14,0
63,One year,DSL,52.88,0
54,Two year,Fiber optic,70.39,0
44,Month-to-month,No,36.31,1
21,Two year,Fiber optic,56.38,1
30,Month-to-month,DSL,66.82,0
8,Month-to-month,Fiber optic,60.74,1
27,Month-to-month,DSL,37.07,1
67,Month-to-month,No,18.1,0
31,One year,DSL,37.22,0
8,Two year,Fiber optic,,1
47,Month-to-month,DSL,42.22,0
70,One year,DSL,46.56,0
63,Two year,Fiber optic,60.18,0
20,One year,DSL,47.0,0
33,Month-to-month,DSL,31.91,0
38,Two year,DSL,53.79,0
18,Month-to-month,Fiber optic,78.64,1
19,One year,Fiber optic,69.93,1
17,One year,No,17.2,0
72,One year,DSL,48.73,0
54,Month-to-month,DSL,34.35,0
61,Month-to-month,No,25.41,0
59,One year,Fiber optic,68.18,0
70,Month-to-month,Fiber optic,101.56,1
7,Month-to-month,DSL,30.28,1
64,One year,DSL,12.99,0
4,One year,No,17.35,1
34,Month-to-month,DSL,24.41,0
43,Month-to-month,Fiber optic,61.28,1
26,Two year,Fiber optic,54.43,0
10,Month-to-month,Fiber optic,59.15,1
14,Month-to-month,No,12.22,0
60,Month-to-month,Fiber optic,81.56,1
23,Month-to-month,DSL,44.42,0
22,Two year,Fiber optic,82.91,0
67,Month-to-month,Fiber optic,70.49,0
10,Month-to-month,Fiber optic,,1
66,Month-to-month,DSL,41.37,0
67,Month-to-month,Fiber optic,89.13,0
43,Month-to-month,No,30.65,1
12,Two year,No,15.64,0
11,One year,Fiber optic,77.43,0
20,Month-to-month,DSL,45.33,0
42,Month-to-month,Fiber optic,67.57,1
11,Month-to-month,Fiber optic,71.15,1
33,Month-to-month,Fiber optic,79.01,0
8,One year,DSL,19.59,0
39,Month-to-month,DSL,40.79,0
1,One year,Fiber optic,78.19,0
51,Two year,DSL,47.98,0
4,Month-to-month,DSL,31.48,1
14,Two year,DSL,16.59,0
12,Month-to-month,DSL,65.41,0
60,Month-to-month,DSL,42.76,0
3,Two year,DSL,63.17,0
31,Month-to-month,Fiber optic,79.54,0
43,One year,DSL,35.48,0
37,One year,Fiber optic,39.98,0
49,Month-to-month,DSL,39.45,0
58,Two year,DSL,44.55,0
28,Month-to-month,Fiber optic,75.41,0
60,Two year,Fiber optic,56.67,0
23,Month-to-month,DSL,47.14,0
71,Month-to-month,DSL,47.13,0
36,Month-to-month,DSL,56.83,0
53,Two year,DSL,41.32,0
63,Month-to-month,Fiber optic,75.31,1
57,Two year,Fiber optic,73.46,0
62,Month-to-month,DSL,55.51,1
39,Month-to-month,Fiber optic,60.16,0
3,Month-to-month,DSL,8.15,0
35,Month-to-month,Fiber optic,67.16,1
13,Two year,Fiber optic,67.23,1
64,Month-to-month,DSL,31.11,0
17,One year,DSL,26.9,0
16,One year,DSL,38.1,0
18,Month-to-month,Fiber optic,68.62,1
46,One year,DSL,46.15,0
41,Two year,DSL,17.58,0
69,One year,DSL,23.96,0
30,Month-to-month,DSL,58.55,0
20,One year,Fiber optic,67.72,0
3,One year,DSL,44.97,0
0,Month-to-month,DSL,29.0,0
27,One year,DSL,44.95,0
67,Month-to-month,DSL,40.49,0
38,One year,Fiber optic,62.58,0
65,Two year,No,7.46,0
7,Two year,Fiber optic,59.58,1
6,Two year,Fiber optic,93.66,0
60,One year,DSL,40.81,0
7,One year,Fiber optic,79.48,1
3,Month-to-month,No,22.64,1
29,Month-to-month,Fiber optic,66.25,0
67,Month-to-month,Fiber optic,62.37,0
50,Month-to-month,Fiber optic,86.15,0
7,Two year,Fiber optic,74.48,0
61,Two year,Fiber optic,60.52,0
61,Month-to-month,Fiber optic,65.27,0
58,Month-to-month,Fiber optic,82.91,1
65,One year,Fiber optic,35.94,0
17,Month-to-month,Fiber optic,73.73,0
71,Two year,Fiber optic,76.45,0
23,Two year,Fiber optic,61.0,0
58,Month-to-month,Fiber optic,71.86,0
42,Month-to-month,Fiber optic,76.03,1
56,Month-to-month,Fiber optic,55.23,0
45,Month-to-month,Fiber optic,80.1,1
46,Month-to-month,Fiber optic,73.57,0
44,Month-to-month,No,23.16,0
56,Month-to-month,Fiber optic,71.26,0
53,Month-to-month,Fiber optic,78.49,0
9,Month-to-month,DSL,72.79,1
60,One year,DSL,52.32,0
39,Month-to-month,Fiber optic,79.73,1
23,Two year,DSL,47.32,0
37,Month-to-month,DSL,67.82,0
70,Month-to-month,No,7.41,0
62,Month-to-month,No,4.15,0
60,One year,DSL,46.84,0
33,Month-to-month,DSL,52.92,0
57,Month-to-month,Fiber optic,39.1,0
28,Month-to-month,DSL,44.96,0
50,Two year,DSL,42.83,0
46,Month-to-month,Fiber optic,78.93,1
18,Month-to-month,Fiber optic,75.14,0
19,Two year,DSL,23.3,0
4,Month-to-month,DSL,32.04,0
10,Month-to-month,DSL,35.32,0
31,Two year,Fiber optic,78.87,0
34,Month-to-month,DSL,49.5,0
12,Month-to-month,Fiber optic,62.55,0
30,Month-to-month,DSL,46.73,1
44,Month-to-month,Fiber optic,57.3,0
16,Two year,Fiber optic,94.6,1
24,One year,Fiber optic,76.89,1
26,One year,Fiber optic,79.43,0
36,Month-to-month,Fiber optic,86.52,0
26,One year,DSL,57.19,0
53,One year,Fiber optic,70.38,0
23,Month-to-month,DSL,42.78,0
31,Two year,DSL,60.46,0
27,One year,Fiber optic,70.32,0
13,One year,DSL,36.01,0
50,Month-to-month,DSL,68.6,0
17,Month-to-month,DSL,33.77,1
21,One year,DSL,24.18,0
57,One year,DSL,56.91,0
69,Month-to-month,No,16.23,0
48,Month-to-month,Fiber optic,75.22,0
66,Two year,Fiber optic,91.81,1
62,Month-to-month,DSL,28.5,0
35,Month-to-month,Fiber optic,69.51,1
56,One year,DSL,62.8,0
23,Month-to-month,Fiber optic,78.18,0
33,Month-to-month,Fiber optic,67.84,1
39,Month-to-month,DSL,73.67,0
70,Two year,Fiber optic,68.86,0
61,Month-to-month,Fiber optic,74.76,0
35,One year,DSL,64.79,0
47,Two year,DSL,56.77,0
14,One year,DSL,60.86,0
58,Month-to-month,Fiber optic,59.21,0
40,Month-to-month,DSL,59.74,0
38,Month-to-month,DSL,47.04,0
55,One year,DSL,36.05,0
46,Two year,Fiber optic,72.66,1
5,One year,Fiber optic,72.28,0
21,Month-to-month,DSL,67.42,0
12,Month-to-month,DSL,49.58,1
53,Two year,Fiber optic,60.63,1
2,Month-to-month,DSL,32.86,0
14,Two year,DSL,44.43,0
43,Month-to-month,Fiber optic,53.84,0
50,One year,DSL,36.42,0
36,Two year,Fiber optic,67.07,0
62,Month-to-month,DSL,39.94,0
67,Month-to-month,DSL,53.72,0
9,Two year,DSL,36.15,0
69,Month-to-month,No,-4.64,0
44,Month-to-month,DSL,24.77,0
46,Month-to-month,Fiber optic,69.79,1
6,Month-to-month,DSL,37.96,0
45,One year,No,10.16,0
52,Month-to-month,Fiber optic,93.5,0
42,Month-to-month,DSL,54.95,1
6,Two year,Fiber optic,69.3,0
38,Month-to-month,DSL,47.8,0
68,Month-to-month,DSL,41.82,0
52,One year,No,9.95,0
10,Two year,DSL,57.37,0
70,One year,Fiber optic,80.22,0
69,Two year,DSL,21.27,0
12,Month-to-month,No,27.72,0
58,Month-to-month,Fiber optic,74.04,0
29,Two year,Fiber optic,66.14,0
43,Two year,DSL,70.17,0
32,One year,DSL,68.86,0
57,Month-to-month,Fiber optic,65.47,0
72,Month-to-month,Fiber optic,67.33,0
58,Month-to-month,Fiber optic,65.92,0
67,Two year,DSL,37.66,0
69,Two year,Fiber optic,58.95,1
6,Month-to-month,DSL,51.08,0
18,Month-to-month,DSL,68.54,0
52,Month-to-month,Fiber optic,88.6,0
43,Month-to-month,DSL,54.47,0
3,One year,Fiber optic,41.11,0
6,One year,Fiber optic,47.63,1
37,Month-to-month,DSL,57.77,0
44,One year,DSL,64.43,0
12,Two year,No,31.64,0
12,Month-to-month,Fiber optic,66.33,0
9,Month-to-month,Fiber optic,86.23,1
41,Month-to-month,Fiber optic,79.04,1
0,Month-to-month,DSL,58.65,0
41,Month-to-month,Fiber optic,47.72,0
34,One year,DSL,49.12,0
34,Month-to-month,DSL,66.29,0
49,Month-to-month,DSL,51.33,0
38,Two year,Fiber optic,81.38,0
53,Month-to-month,Fiber optic,70.44,0
55,One year,DSL,46.27,0
67,One year,DSL,61.83,0
58,Two year,DSL,36.96,0
37,One year,DSL,35.79,0
35,Two year,Fiber optic,64.26,0
17,One year,Fiber optic,70.28,1
43,Month-to-month,Fiber optic,50.68,0
10,Month-to-month,No,33.77,0
67,Month-to-month,DSL,43.03,0
61,Month-to-month,DSL,55.24,0
8,Month-to-month,DSL,19.57,0
57,Month-to-month,Fiber optic,80.29,0
8,Month-to-month,DSL,61.04,1
52,Month-to-month,DSL,50.26,0
6,Month-to-month,Fiber optic,70.36,1
35,One year,DSL,55.38,0
48,One year,DSL,60.26,0
53,Two year,DSL,51.28,0
30,Month-to-month,Fiber optic,77.17,1
67,Two year,DSL,64.88,0
56,One year,No,34.13,0
15,Month-to-month,No,15.4,0
48,Two year,Fiber optic,85.2,0
53,Month-to-month,Fiber optic,68.52,0
24,One year,DSL,45.4,1
53,One year,Fiber optic,71.28,0
65,Month-to-month,Fiber optic,81.63,0
59,One year,DSL,65.99,0
55,Month-to-month,Fiber optic,70.29,0
46,Month-to-month,Fiber optic,90.78,1
19,Month-to-month,No,26.98,0
58,Month-to-month,Fiber optic,86.83,1
26,Month-to-month,No,27.38,1
